"Story","Title","Result","Date","Stability","Duration (s)"
"Services CRUD test","This will create a New Service","SUCCESS","2022-06-07T14:56:15.668+02:00[Europe/Paris]","0.0","0.04"
"Services CRUD test","Verify if the Services was added to the application","SUCCESS","2022-06-07T14:56:15.713+02:00[Europe/Paris]","0.0","0.02"
"Services CRUD test","Update the Services information","SUCCESS","2022-06-07T14:56:15.735+02:00[Europe/Paris]","0.0","0.05"
"Services CRUD test","Delete the Services by ID","SUCCESS","2022-06-07T14:56:15.782+02:00[Europe/Paris]","0.0","0.05"
