"Story","Title","Result","Date","Stability","Duration (s)"
"Products CRUD test","This will create a New product","SUCCESS","2022-06-07T14:56:15.445+02:00[Europe/Paris]","0.0","0.07"
"Products CRUD test","Verify if the Product was added to the application","SUCCESS","2022-06-07T14:56:15.513+02:00[Europe/Paris]","0.0","0.03"
"Products CRUD test","Update the Product information","SUCCESS","2022-06-07T14:56:15.540+02:00[Europe/Paris]","0.0","0.05"
"Products CRUD test","Delete the Product by ID","SUCCESS","2022-06-07T14:56:15.586+02:00[Europe/Paris]","0.0","0.04"
