"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test","This will create a New Category","SUCCESS","2022-06-07T14:56:10.752+02:00[Europe/Paris]","0.0","3.31"
"Categories CRUD test","Verify if the Category was added to the application","SUCCESS","2022-06-07T14:56:14.085+02:00[Europe/Paris]","0.0","0.05"
"Categories CRUD test","Update the Category information","SUCCESS","2022-06-07T14:56:14.140+02:00[Europe/Paris]","0.0","0.06"
"Categories CRUD test","Delete the Category by ID","SUCCESS","2022-06-07T14:56:14.204+02:00[Europe/Paris]","0.0","0.09"
